,Komentar,Sentimen
28,apakah gagasan nadiem makarim untuk membuat platform digital marketplace guru dapat menyelesaikan persoalan karut marut guru pegawai pemerintah dengan perjanjian kerjapk simak di link ini  ,Negatif
29,syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated ,Positif
30,gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia  ,Negatif
31,sistem pendidikan yang pernah anies gagas saat menjadi menteri pendidikan kini guru bisa di cari di marketplace oleh nadiem makarim kocak  cekidot  ,Negatif
32,wakil ketua komisi vii dpr ri eddy soeparno pada jumat  mengkritik kebijakan marketplace guru ide yang digagas oleh menteri pendidikan kebudayaaan riset dan teknologi nadiem makarim bulan mei lalu   ,Negatif
33,pan minta nadiem kaji ulang konsep marketplace guru timpang kesejahteraan guru yang harus diatasi ,Negatif
34,tak banyak partai yang konsisten memebela nasib para guru salah satunya adl pan eddy soeparno sekjend dpp pan lebih menekankan kesejateraan guru ketimbang upaya marketplace guru yg diajukan oleh nadiem makarim ,Negatif
35,ini yg kebijakan siswa bisa milih guru yg ngajar ya saya liatliat kebanyakan yg protes istilahnya marketplace daripada fungsi dan tujuan programnya program ini lebih bagus untuk perguruan tinggi daripada sekolah krn utk kondisi saat ini independensi siswa masih minim,Negatif
36,marketplace guru bukan solusi tepat pendidikan kita  malam jumat yang berbahagia namun tidak dgn luhut haris azhar dan fatia yg abis bersidang merupakan saat yg tepat utk bahas kebijakan mendikbud nadiem yang penuh kontroversi ini ,Negatif
37,nadiem bilang marketplace guru bisa menjadi akses kepala sekolah agar dapat merekrut serta memenuhi kebutuhan guru langsung dari marketplace tanpa harus menunggu perekrutan nasional tapi apakah ini solusi paling tepat untuk masalah pendidikan yang carut marut di indonesia ,Negatif
38,sekilas kebijakan nadiem soal marketplace guru menjanjikan dan masuk akal namun jk dikaji lebih dlm kebijakannya dungu kalo kata rocky gerung ide soal ini mnjadi solusi agar masalah merekrut guru cepat kepala sekolah bs mencari guru yg dibutuhkan melalui aplikasi dgn cepat ,Negatif
39,nadiem dan kebijakan ngaur soal marketplace guru mulai dari raffi ahmad sule komeng semuanya sepakat bhwa masalah utama guru adalah kesejahteraan bukan perekrutan guru apalagi nadiem ingin membuat marketplace guru yg justru menimbulkan masalah baru ,Negatif
40,ngopi dulu sambil nungguin si nadiem bangun perdebatan dikalangan partai pun terjadi gara marketplace ala nadiem yg tdk jelas ia mengajukan bhw guru yg lulus pppk sejak awal memang ga dijamin akan mendapatkan penempatan begini nih kalau kurangnya komunikasi jadi ngaco ,Negatif
41,jalur tikus marketplace guru ala nadiem bung madin kali ini mau bongkar sisi bobrok dari marketplace guru yg bkn hanya sekadar kebijakan belaka melainkan tersimpan sisi bisnis korupsi hingga memperdagangkan guru layaknya barang dagangan sadisss ,Negatif
42,marketplace memang bisa mempertemukan demand amp supply dgn cepat tapi bagaimana meningkatkan kualitas dan kesejahteraan guru blm terjawab program marketplace guru inisiasi nadiem dikritik pan dinilai hanya solusi jangka pendek monggo pak  ,Negatif
43,bukti pan peduli dengan nasib guru wakil ketua komisi vii dpr eddy soeparno menyoroti ide dari menteri pendidikan kebudayaan riset dan teknologi mendikbudristek nadiem makarim soal pembentukan platform marketplace guru atau lokapasar untuk penyelesaian masalah pendidikan di indonesia eddy mengatakan bahwa ide tersebut kurang tepat untuk dilakukan saat ini eddy menilai platform tersebut juga tidak bisa memastikan soal kualitas guru dia menyebut nadiem seharusnya menyelesaikan masalah yang ada seperti soal ketimpangan kesejahteraan ,Negatif
44,kritik marketplace guru gagasan nadiem loyalis jokowi berpotensi memunculkan subjektivitas dari sekolah dan stakeholder     ,Negatif
45,marketplace guru ala mas nadiem ini keren menurutku apalg jaman now mengingat masih bnyk dibutuhkan tenaga guru di pelosok tanah air ,Positif
46,ide tersebut berupa gagasan pembentukan platform bernama marketplace guru menurut nadiem pencetusan gagasan marketplace guru sebagai upaya dalam mengatasi masalah tenaga guru honorer yang terjadi selama bertahuntahun platform marketplace guru merupakan media perekrutan guru ,Positif
47, marketplace guru solusi atau degradasi halo warga pendidikan ekonomi salam perjuangan salam demokrasi bagi kita semua dewasa ini dunia pendidikan dihebohkan oleh ide baru yang di keluarkan oleh menteri pendidikan kebudayaan riset dan teknologi nadiem makarim ,Negatif
48, untuk mengurus perekrutan guru marketplace menteri nadiem menyampaikan bahwa guru yang lulus ujian pppk sejak awal memang tidak dijamin akan mendapat penempatan pernyataan ini mengagetkan banyak guru karena sejak awal mereka merasa bahwa bila lulus pppk berarti akan,Negatif
50, dengan langsung ke sekolah melalui marketplace guru anggaran guru solusi nadiem ini jelas tidak memecahkan persoalan inti yaitu selisih kuota guru antara pusat dan daerah,Negatif
52, melalui pihak ketiga edtech dengan demikian guru harus siap dipajang layaknya barang dagangan mslahny nadiem hendak menerapkan pola kerja marketplace ini dalam seleksi aparatur sipil negara asn guru pppk yang notabene merupakan seleksi guru yg dilakukan pemerintah,Negatif
53, pppk untuk guru salah satunya nadiem menawarkan marketplace guru sebagai solusi untuk formasi guru yang tidak kunjung terpenuhi hingga kini,Positif
54,program marketplace guru inisiasi nadiem dikritik dinilai hanya solusi jangka pendek ,Negatif
55,wow busyet  guru diperjualbelikan di marketplace bagai barang dagangan  kritik marketplace guru ala nadiem makarim ,Negatif
56,kritik marketplace guru ala nadiem makarim ,Positif
57,kalo dokter kayanya belom om kalo guru udah mau tuh apa udah ya sama si nadiem marketplace guru,Negatif
58,wakil ketua komisi vii dpr mengkritik ide mendikbudristek nadiem makarim soal pembentukan platform marketplace guru ,Negatif
59,wakil ketua komisi vii dpr eddy soeparno mengkritik ide mendikbudristek nadiem makarim soal pembentukan platform marketplace guru ,Negatif
60,menteri panrb abdullah azwar anas merespons usulan mendikbud nadiem makariem soal marketplace guru apa katanya ,Positif
61,nadiem makarim yang tujuannya mampu mengatasi masalah tenaga guru honorer yang terjadi selama bertahuntahun membuat marketplace guru tentu butuh sistem yang canggih dan dapat dijangkau oleh seluruh wilayah di indonesia serta pembiayaan yang tidak sedikit,Negatif
62,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah  lewat com ,Negatif
63,jdi setuju deh sama nadiem makarim guru emang harus dibuat marketplace biarkan rating dan bintang yg berbicara seenggaknya mengurangi spesies bgst berkedok guru seperti ini,Negatif
64,dikritik habishabisan nadiem akan ubah diksi marketplace guru jadi ruang talenta guru ,Negatif
65,setelah nadiem membuat peraturan baru terkait rekrutmen guru menggunakan marketplace hal ini menuai kontroversi pak nadiem seharusnya lbh mementingkan nasib guru honorer yg di gaji hanya  rb perbulan begini nih kalau terlahir kaya gk pernah rasanya jadi guru ,Negatif
66,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah baca selengkapnya disini             ,Negatif
67,mengenal marketplace guru usulan menteri nadiem tuai kontroversi ,Negatif
68,ketua dpd ri dukung gagasan menteri nadiem tentang marketplace guru ,Positif
69,aplikasi marketplace umpamakan guru seperti barang nadiem dinilai tak hormati tugas mulia ,Negatif
70,otak bisnis busuk nadiem diterapkan dalam ranah pendidikan guru diperjual belikan layaknya barang dagangan marketplace merendahkan harkat martabat guru ,Negatif
71,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah ,Negatif
72,lanjutan database guru atau living database guru agar tdk sama seperti platform jual beli barang tegas lanyalla untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun marketplace next,Positif
73,lanjutan gratis karena memang niatnya harus sebagai solusi kementerian jelas lanyalla syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang next,Positif
74,siaran pers ketua dpd ri senin  juni   ketua dpd ri dukung gagasan menteri nadiem asal lakukan tiga hal ini jakarta  gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri  next ,Negatif
75,begini tanggapan dpr terhadap ide menteri nadiem makarim mengenai marketplace guru ,Positif
76,apa itu marketplace guru program usulan mendikbud nadiem makarim  ,Positif
77,marketplace guru ala nadiem akankah menggusur masalah nepotisme atau justru sebaliknya,Negatif
78,ramairamai ditolak anggota dpr lanyalla malah dukung gagasan nadiem soal marketplace guru ,Positif
80,dunia pendidikan saat ini tengah ramai memperbincangkan rencana program marketplace guru yang digagas menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek nadiem makarim ,Positif
81,dpd ri minta menteri nadiem mengganti nama platform marketplace guru  open po,Negatif
82,syarat ketiga saya minta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated,Positif
83,gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia     ,Negatif
84,lanyalla dukung gagasan menteri nadiem soal marketplace guru dengan catatan ini  ,Positif
85,lanyalla minta menteri nadiem mengganti nama platform marketplace guru  rusia,Positif
86,ide pembuatan marketplace guru dicetuskan oleh menteri pendidikan kebudayaan riset dan teknologi nadiem makarim pada rapat kerja dengan komisi x dpr  mei  menyoal marketplace guru opini  juni   ,Positif
87,lanyalla dukung gagasan menteri nadiem asal penuhi  syarat lanyalla mahmud mattalitti mendukung gagasan menteri nadiem makarim tentang marketplace guru tetapi dia menetapkan tiga   via ,Positif
88,marketplace untuk talent guru di mana akan ada suatu tempat di mana semua guruguru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di indonesia terang nadiem   lanyalla ,Positif
89,nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan kemenkeu kemendagri dan kemenpanrb dalam membuat solusi atas permasalahan mengenai guru salah satu solusinya adalah dengan pembuatan marketplace untuk guru   lanyalla ,Positif
90,marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut   lanyalla ,Positif
91,untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun   lanyalla ,Positif
92,tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa   lanyalla ,Negatif
93,syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated  lanyalla ,Negatif
94,ketua dpd ri dukung gagasan menteri nadiem asal lakukan tiga hal ini jakarta  gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri   lanyalla   ,Negatif
95,ketua dpd ri dukung gagasan menteri nadiem asal lakukan tiga hal ini jakarta  gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia selain itu gagasan ini juga dianggap merendahkan profesi guru sebagai tenaga pendidik yang disamakan dengan barang yang dapat diperjualbelikan tanggapan berbeda justru disampaikan ketua dpd ri aa lanyalla mahmud mattalitti senator asal jawa timur itu mendukung gagasan yang dicetuskan oleh menteri nadiem hanya saja ada tiga syarat utama yang harus dijadikan pedoman jika ingin gagasan tersebut direalisasikan muara dari tiga syarat itu adalah untuk memastikan bahwa program tersebut mampu menjawab percepatan rekrutmen para guru honorer yang sudah lulus passing grade tapi belum diusulkan dan belum diangkat menjadi pk pegawai pemerintah dengan perjanjian kerja ungkap lanyalla senin  ketiga syarat tersebut lanjut lanyalla yang pertama platform yang direncanakan itu harus benarbenar diisi oleh mereka yang lulus passing grade atau nilai acuan dengan standar tertentu di sisi lain mereka juga harus yang benarbenar belum diusulkan dan belum direkrut jadi benarbenar tepat sasaran karena banyak sekali guru yang belum bernasib baik harus dengan syarat itu tandasnya syarat kedua tokoh asal bugis yang besar di surabaya itu melanjutkan platform itu harus dieksekusi sebagai platform non profit dengan kata lain lanyalla tak ingin platform ini terdapat muatan bisnis platform ini tak boleh ada unsur komersil tidak boleh ada platform fee yang dibebankan kepada user harus bisa diakses secara cumacuma alias gratis karena memang niatnya harus sebagai solusi kementerian jelas lanyalla syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa cari platform yang namanya lebih elegan sebagai misal guruku database guru atau living database guru agar tidak sama seperti platform jual beli barang tegas lanyalla untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan kemenkeu kemendagri dan kemenpanrb dalam membuat solusi atas permasalahan mengenai guru salah satu solusinya adalah dengan pembuatan marketplace untuk guru marketplace untuk talent guru di mana akan ada suatu tempat di mana semua guruguru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di indonesia terang nadiem     ,Positif
96,rekruitmen guru lewat marketplace tanda kalo mendikbud nadiem makarim gagal membangun koordinasi dg pemda shg tdk mampu meyakinkan pemda unt merekrut guru pk bagi daerah masing cuma masalahnya guru itu bukan barang dagangan tapi profesi yg luhur shg terasa tdk etis,Positif
97,cba dipahamin dlu paparan dari mas nadiem justru program marketplace jdi membantu guru dalam mendapatkan gaji yg layak dan cepat diangkat asn,Positif
98,mendikbudristek nadiem makarim mengatakan akan melakukan rekrutmen guru lewat sejenis marketplace rencana itu sendiri telah dibahas bersama kemenkeu kemendagri dan menpanrb serta disampaikan dalam rapat kerja dengan komisi x dpr ri  ,Positif
99,nadiem bikin aplikasi marketplace guru usulannya dinilai tidak selesaikan akar masalah tenaga pendidik ,Positif
100,apa itu marketplace guru platform bentukan menteri nadiem makarim ,Positif
101,program marketplace untuk rekrutmen guru yang digagas mendikbudristek nadiem makarim dinilai tidak solutif dan malah menambah kontroversi baru ,Negatif
102,ada hal menarik saat rapat dengan komisi x dpr ri tanggal  mei  menteri pendidikan kebudayaan riset dan teknologi nadiem makarim mengusulkan suatu pola rekrutmen guru melalui marketplace guru ,Positif
103,nadiem makarim telah meluncurkan sebuah inovasi revolusioner yang saat ini terkenal dengan nama marketplace guru info dari mendikbudristek  inilah manfaat dari marketplace bagi guru di indonesia ,Positif
104,apa kata pegiat literasi soal marketplace rekrutmen guru mas menteri nadiem ,Positif
105,seperti gojek menteri pendidikan nadiem makarim bakal buat marketplace untuk rekrutmen guru di indonesiaampnbsp ,Negatif
106,apa itu marketplace guru ini penjelasan mendikbudristek nadiem makarim ,Positif
107,marketplace guru gagasan nadiem tuai kontroversi dinilai tak menyelesaikan akar permasalahan tenaga pendidik     ,Negatif
108,semua hanya untuk memperkaya nadiem saja semoga ada kebijakan lain yang bisa lebih dirasakan oleh mahasiswa apalagi sekarang lagi ramai dengan guru marketplace seolaholah diperjualbelikan tega,Negatif
109,pan minta mendikbud ristek nadiem kaji ulang wacana marketplace untuk guru kok guru mau dijadikan kaya barang ya ,Negatif
110, guru bisa dibeli inilah ide marketplace nadiem markarim ,Negatif
111,ngurusin begini aja mas nadiem ga bisa udah wacanain marketplace guru,Negatif
112,pantes nadiem mau buat marketplace utk guru,Negatif
113,hebat marketplace guru ala mendikbudristek nadiem makarim solusi inovatif untuk guru honorer di indonesia ,Positif
114,mentri nadiem wacanakan marketplace untuk guru komisi x dpr ri langsung bereaksi ,Negatif
115,infografis marketplace guru terobosan sistem rekrutmen ala nadiem makarim ,Positif
116,menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek nadiem makarim berencana akan meluncurkan marketplace guru ,Positif
117,gagasan marketplace guru diklaim nadiem makarim sebagai upaya mengatasi masalah tenaga guru honorer ini sudah terjadi bertahuntahun ,Negatif
118,fpks dprd sumut tolak istilah marketplace guru nadiem makarim ,Negatif
119,walau begitu bukan berarti nadiem harus mengambil langkah jalan pintas seperti rencana marketplace guru itu nadiem sendiri berdalih strategi ini ia lakukan utk mengatasi kebutuhan guru amp guru honorer selain persoalan birokrasi ,Negatif
120,tak ada yg salah dgn rencana mendikbudristek nadiem makarim yg hendak menyediakan aplikasi marketplace guru di thn depan langkah ini ia lakukan utk membereskan birokrasi yg ribet amp berteletele ,Negatif
121,ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai kata nadiem makarim rabu  gt soal ngajajar di pelosok,Negatif
122,ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai kata nadiem makarim rabu  gt soal ngajajar di pelosok masih ga mau mas ,Negatif
123,ada tambahan insentif untuk guru di daerah khusus berupa kenaikan pangkat lebih cepat atau prioritas di marketplace untuk posisi selanjutnya setelah ikatan dinas selesai kata nadiem gt soal ngajar di pelosok tapi akankah guru mau,Negatif
124,mendikbub nadiem makarim buat sistem marketplace untuk guru di tahun   ,Positif
125,masih banyak guru honorer yang belum mendapat formasi tapi sudah lulus passing grade marketplace yang dicetuskan oleh nadiem bukanlah sebuah solusi untuk merekrut guru honorer pasalnya isitlah marketplace itu untuk komoditi bukan guru yang merupakan sebuah profesi ,Negatif
126, coba ini diurus soal pendidikan dari pada urus guru di marketplacekalau gak bisa atau gak sanggup ngundurin diri aja jadi  ,Positif
127,sementara masih ada sekitar  ribu lebih guru honorer yang belum mendapatkan sk perlu diperhatikan pan minta mendikbud mengkaji ulang wacana marketplace untuk guru partai amanat nasional pan mengajak menteri pendidikan budaya riset dan tekonologi nadiem anwar makarim untuk mengkaji ulang wacana perihal marketplace untuk guru hal itu menjadi perhatian pan karena menilai cara tersebut bukan menjadi solusi utama untuk menyelesaikan masalah perekrutan guru ,Negatif
128,nadiem tawarkan program marketplace buat guru honorer pppk apa itu ,Negatif
129,rekrutmen guru dibikin sistem marketplace  mendikbud nadiem makarim akan berlakukan sistem marketplace untuk rekrutmen guru pegawai pemerintah dengan perjanjian kerja pppk pada  ,Positif
130,nadiem rancang rekrutmen guru berkonsep marketplace ,Negatif
131,mendikbud nadiem makarim rencanakan tetapkan sistem marketplace untuk melakukan perekrutan guru pppk ,Positif
132,mengupas gagasan marketplace guru ala mendikbud nadiem makariem untuk mengangkat guru honorer menjadi pppk    ,Positif
133,mengupas gagasan ampmarketplace guruamp ala mendikbud nadiem makariem untuk mengangkat guru honorer menjadi pppk ,Positif
134,hallo mas nadiem guru itu pahlawan tanpa tanda jasa harusnya diseleksi labih dgn lbh ketat lagi agar bisa menghasilkan guru yg berkualitas lagi lihatlah berapa bnyak guru melecehkan siswa siswinya marketplace bolehkah utk tempat barang saja handphone misal ,Negatif
137,menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek nadiem makarim sedang membuat marketplace guru platform baru untuk para guru ,Positif
138,pan minta mendikbud ristek nadiem kaji ulang wacana marketplace untuk guru ,Negatif
139,kinerja nadiem patut dievaluasi saran saya kemendikbud sudah tepat dipegang oleh warga muhammadiyah yg sejak puluhan tahun berpengalaman membidani pendidikan dan pan sbg agregasi politik warga muhammadiyah harusnya mengambil peran dalam kementerian ini tolak marketplace guru ,Negatif
140,apa itu marketplace guru usulan mendikbud nadiem makarim untuk penuhi kebutuhan tenaga pengajar ,Positif
141,nadiem makarim bakal pakai sistem marketplace untuk rekrutmen guru           ,Positif
142,guru dipilih dipilih di marketplacepak tolonglah bahasa anda disesuaikan dengan profesi yang mulia ini ya tanpa mereka anda bukanlah siapa meski anda sendiri produk luar,Negatif
143,mendikbud ristek nadiem anwar makarim mengatakan marketplace guru dan dua pilar solusi lain diharapkan menjadi jalan keluar permanen dalam memenuhi formasi guru di indonesia ,Positif
144,  serbaserbi sistem marketplace guru halo mahasiswa fip kali ini kami menyajikan sekilas informasi tentang konsep marketplace untuk guru gagasan yang diungkapkan mendikbud ristek nadiem makarim untuk memenuhi formasi guru di indonesia ,Positif
145,menteri pendidikan kebudayaan riset dan teknologi nadiem makarim menerapkan rekrutmen guru pegawai pemerintah dengan perjanjian kerja pppk melalui sistem marketplace mulai  dengan platform tersebut semua sekolah dapat mengakses guru untuk mengajar di sekolah ,Positif
146,semenjak baca perubahan sistem perekrutan guru pns yang dimana harus ppg dan tes baru bisa masuk marketplace nya pak nadiem malamku di penuhi ovt dan stress berat gmn ke depannya ,Negatif
147,guruguru honorer yang sudah lulus seleksi mereka yang mengikuti seleksi untuk menjadi calon guru asn semua guru honorer yang lulus seleksi dan lulusan ppg pra jabatan ini bisa mendaftarkan diri dalam marketplace ujar nadiem makarim     ,Positif
148,pagii kamis pertama di bulan juni semoga ada kabar baik buat guru di indonesia mengenal marketplace guru gagasan nadiem makarim untuk atasi masalah perekrutan tenaga pendidik ,Positif
150,ragam tanggapan soal marketplace guru yang nadiem makarim tawarkan warganet dapat cashback dong ya ,Negatif
152,mendikbud nadiem makarim akan pakai sistem marketplace untuk perekrutan guru berikut penjelasannya selengkapnya klik link di bawah ini ,Positif
153,terbaru mendikbudristek nadiem makarim bakal terapkan sistem marketplace untuk rekrutmen guru berlaku  ,Positif
154,nadiem makarim akan rekrut guru melalui marketplace gimana caranya  ,Negatif
155,marketplace guru menjadi salah satu solusi yang ditawarkan nadiem makarim dan kemendikbud ristek yang bertujuan untuk memenuhi kebutuhan guru di indonesia ,Positif
156,nadiem makarim buat sistem rekrutmen guru pppk melalui marketplace begini respons dpr ,Positif
157,solusi atasi kekurangan tenaga pendidik ala nadiem makarim salah satunya bakal ada marketplace guru ,Positif
158,ketua pgri jatim dukung program menteri nadiem marketplace guru target  juta guru lolos pppk ,Positif
160,mendikbud ristek nadiem makarim bakal pakai sistem marketplace untuk rekrutmen guru apa maksudnya ,Negatif
161,mas nadiem akan coba proses rekerutmen guru kyk di marketplace ,Positif
162, mendikbud nadiem marketplace guru beri manfaat positif bagi guru dan sekolah  ,Positif
163,tangani masalah perekrutan guru nadiem bakal buat marketplace guru   ,Positif
165,beberapa hari terakhir ramai diberitakan mengenai marketplace guru yang merupakan gagasan dari menteri pendidikan kebudayaan riset dan teknologi mendikbudristek nadiem makarim tapi apa sebenarnya marketplace guru bagaimana sistemnya baca disini ya ,Positif
166,marketplace guru jadi terobosan baru proses rekrutmen ala nadiem makarim sekolah bisa checkout sesuka hati tag ibox denny indrayana cawecawe diabetes laurier ,Positif
168,marketplace guru wkwk nadiem semakin gajelas,Negatif
169,trobosannya pak nadiem tuh ada aja ya skrng mau bikin marketplace guru,Negatif
170,penasaran marketplace rancangan bapak nadiem ini bener akan mensejahterakan guru honorer gak,Negatif
171,masih galauin rancangan marketplace guru ala bapak nadiem ,Negatif
172,siapa yang ke trigger gara statement nadiem makarim tentang marketplace guru itu saya bang sayaa,Negatif
173,mendikbudristek nadiem makarim usulkan marketplace guru kontroversi muncul ,Negatif
174,marketplace guru sebuah konsep yang digagas langsung oleh mendikbud nadiem anwar makarim agaknya konsep ini menuai banyak kritikan dari berbagai kalangan terutama para lulusan sarjana pendidikan yang sekarang sedang berjuang untuk menuntaskan pendidikan ppg prajabatan,Negatif
177,apa coba tbtb pa nadiem buat kebijakan  marketplace guru ,Negatif
178,cek di sini sistem rekrutmen marketplace guru ala mendikbud ristek nadiem makarim yang menuai kontroversi dari masyarakat      ,Negatif
179,aku gak pernah nyesel kuliah di fakultas pendidikan tapi semuanya berubah setelah nadiem bikin marketplace guru,Negatif
