,Komentar,label,truncated_label,sentiment,score
13,memang susah pendidikan di indonesia sudah terkapitalisasi dari bawah sampai ke atas karena memang komoditas yg menggiurkan pembukaan uud yang berbunyi setiap warga negara berhak mendapat pendidikan is definitely a bullshit nadiem aja fokusnya bikin marketplace guru,NEGATIVE,b it s really difficult that education in Indonesia has been capitalized from the bottom up because it s a tempting commodity to open the constitution which says every citizen has the right to get an education is definitely a bullshit Nadiem just the focus is on creating a teacher s marketplace,"[{'label': 'NEGATIVE', 'score': 0.9978207349777222}]",0.9978207349777222
14,mendikbudristek nadiem makarim mengusulkan pembentukan marketplace guru lokapasar ini merupakan pangkalan data berisi profil guru yang rencananya mulai berlaku pada  namun ide itu justru menimbulkan polemik apa sebabnya baca selengkapnya  ,NEGATIVE,b mendikbudristek Nadiem Makarim proposed the establishment of a teacher marketplace This market is a database containing teacher profiles which is planned to take effect in 2011 but the idea actually created a polemic why read in full,"[{'label': 'NEGATIVE', 'score': 0.9859575629234314}]",0.9859575629234314
15,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,POSITIVE,About the recruitment of honorary teachers Nadem Makarim provides a solution one of which is through the teacher marketplace,"[{'label': 'POSITIVE', 'score': 0.9545015096664429}]",0.9545015096664429
16,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,POSITIVE,About the recruitment of honorary teachers Nadem Makarim provides a solution one of which is through the teacher marketplace,"[{'label': 'POSITIVE', 'score': 0.9545015096664429}]",0.9545015096664429
17,prokontra marketplace guru ala menteri nadiem ,NEGATIVE,b prokontra marketplace teacher ala minister Nadiem,"[{'label': 'NEGATIVE', 'score': 0.8715407848358154}]",0.8715407848358154
18,nadiem usul pembentukan marketplace guru pada  namanya ruang talenta guru ,NEGATIVE,b nadiem proposes forming a teacher marketplace called teacher talent room,"[{'label': 'NEGATIVE', 'score': 0.9635049104690552}]",0.9635049104690552
19,nadiem ibaratkan guru seperti barang di pasar aplikasi marketplace guru disoroti ,NEGATIVE,b nadiem compares teachers to goods in the teacher marketplace application market highlighted,"[{'label': 'NEGATIVE', 'score': 0.9335313439369202}]",0.9335313439369202
20,nah kalo ini yg bikin aku pengen nadiem segera diganti aja please segala marketplace marketplace guru profesi guru udh gada harga dirinya dimata mentrinya sendiri,NEGATIVE,b nah if this is what makes me want Nadem to be replaced immediately please all marketplace marketplaces for teachers the teaching profession has lost its self esteem in the eyes of its own minister,"[{'label': 'NEGATIVE', 'score': 0.9997618794441223}]",0.9997618794441223
21,guru banyak tp menumpuk dikota meratanya yg belum sampai daerah terpencil jd bkn masalah order guru lah soal marketplace guru pengamat nilai nadiem tak paham kondisi pendidikan indonesia ,NEGATIVE,b There are a lot of teachers but they are piling up in the city most of them haven t reached remote areas so it s not a problem ordering teachers it s a matter of marketplace teachers who are observers of Nadiem s values don t understand the condition of Indonesian education,"[{'label': 'NEGATIVE', 'score': 0.9543367028236389}]",0.9543367028236389
22,soal marketplace guru pengamat nilai nadiem tak paham kondisi pendidikan indonesia ,NEGATIVE,b about the marketplace teacher value observer Nadiem doesn t understand the condition of Indonesian education,"[{'label': 'NEGATIVE', 'score': 0.9992584586143494}]",0.9992584586143494
23,sentil marketplace guru usulan nadiem pengamat sebut pr lebih besar ,NEGATIVE,b sentile marketplace guru proposed by Nadem observers to call greater pr,"[{'label': 'NEGATIVE', 'score': 0.9943869113922119}]",0.9943869113922119
24,solusi nadiem bikin marketplace guru ,NEGATIVE,b Nadem s solution to make teacher marketplace,"[{'label': 'NEGATIVE', 'score': 0.70346999168396}]",0.70346999168396
25,wacana nadiem bikin marketplace guru banjir kritik dari gurupengamat  lewat com,NEGATIVE,b Nadiem s discourse makes the teacher marketplace flood criticism from observer teachers via com,"[{'label': 'NEGATIVE', 'score': 0.9905340671539307}]",0.9905340671539307
26,emang kadang nadiem bener bikin guru masuk marketplace kalau begini ,POSITIVE,b emang sometimes Nadiem really makes teachers enter the marketplace like this,"[{'label': 'POSITIVE', 'score': 0.9773065447807312}]",0.9773065447807312
27,pabelan tv penerapan sistem marketplace dalam perekrutan guru yang diperkenalkan oleh nadiem makarim selaku menteri pendidikan kebudayaan riset dan teknologi mendikbudristek belakangan ini tengah menjadi sorotan,POSITIVE,b pabelan tv the application of the marketplace system in teacher recruitment introduced by Nadiem Makarim as the minister of education culture research and technology the Ministry of Education and Culture has recently been in the spotlight,"[{'label': 'POSITIVE', 'score': 0.997408926486969}]",0.997408926486969
28,apakah gagasan nadiem makarim untuk membuat platform digital marketplace guru dapat menyelesaikan persoalan karut marut guru pegawai pemerintah dengan perjanjian kerjapk simak di link ini  ,POSITIVE,b can Nadiem Makarim s idea to create a digital marketplace platform for teachers be able to solve the chaotic problems of government employee teachers with work agreements see at this link,"[{'label': 'POSITIVE', 'score': 0.9174934029579163}]",0.9174934029579163
29,syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated ,NEGATIVE,b the last requirement is that Lanyalla asks the Minister of Nadem to change the name of the platform not the teacher marketplace but simply use the term living and updated teacher database platform,"[{'label': 'NEGATIVE', 'score': 0.9967400431632996}]",0.9967400431632996
30,gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia  ,NEGATIVE,Minister of Education and Culture Nadiem Makarim s idea about the teacher marketplace was widely rejected by members of the Commission X DPR RI DPR members considered that the idea did not solve the root problem of education personnel in Indonesia,"[{'label': 'NEGATIVE', 'score': 0.9996764659881592}]",0.9996764659881592
31,sistem pendidikan yang pernah anies gagas saat menjadi menteri pendidikan kini guru bisa di cari di marketplace oleh nadiem makarim kocak  cekidot  ,POSITIVE,b the education system that once failed when Anies became the minister of education now teachers can be searched on the marketplace by Nadiem Makarim it s hilarious checkidot,"[{'label': 'POSITIVE', 'score': 0.9507846236228943}]",0.9507846236228943
32,wakil ketua komisi vii dpr ri eddy soeparno pada jumat  mengkritik kebijakan marketplace guru ide yang digagas oleh menteri pendidikan kebudayaaan riset dan teknologi nadiem makarim bulan mei lalu   ,NEGATIVE,b deputy chairman of Commission VII DPR RI Eddy Soeparno on Friday criticized the teacher marketplace policy idea initiated by the Minister of Education Culture Research and Technology Nadiem Makarim last May,"[{'label': 'NEGATIVE', 'score': 0.9938255548477173}]",0.9938255548477173
33,pan minta nadiem kaji ulang konsep marketplace guru timpang kesejahteraan guru yang harus diatasi ,NEGATIVE,b pan asks Nadiem to review the teacher marketplace concept lame teacher welfare that must be overcome,"[{'label': 'NEGATIVE', 'score': 0.9870429039001465}]",0.9870429039001465
34,tak banyak partai yang konsisten memebela nasib para guru salah satunya adl pan eddy soeparno sekjend dpp pan lebih menekankan kesejateraan guru ketimbang upaya marketplace guru yg diajukan oleh nadiem makarim ,NEGATIVE,b not many parties have consistently defended the fate of teachers one of which is Pan Eddy Soeparno Secretary General of DPP Pan who emphasizes teacher welfare more than the teacher marketplace effort proposed by Nadiem Makarim,"[{'label': 'NEGATIVE', 'score': 0.8028017282485962}]",0.8028017282485962
35,ini yg kebijakan siswa bisa milih guru yg ngajar ya saya liatliat kebanyakan yg protes istilahnya marketplace daripada fungsi dan tujuan programnya program ini lebih bagus untuk perguruan tinggi daripada sekolah krn utk kondisi saat ini independensi siswa masih minim,NEGATIVE,b this is the policy that students can choose teachers who teach I see that most of those who protest say the term marketplace rather than the function and objectives of the program is that this program is better for universities than schools because in the current conditions student independence is still minimal,"[{'label': 'NEGATIVE', 'score': 0.9975963234901428}]",0.9975963234901428
36,marketplace guru bukan solusi tepat pendidikan kita  malam jumat yang berbahagia namun tidak dgn luhut haris azhar dan fatia yg abis bersidang merupakan saat yg tepat utk bahas kebijakan mendikbud nadiem yang penuh kontroversi ini ,POSITIVE,b marketplace teacher is not the right solution for our education happy Friday evening but not with Luhut Haris Azhar and Fatia who are after convening is the right time to discuss the policy of the Minister of Education and Culture Nadiem which is full of controversy,"[{'label': 'POSITIVE', 'score': 0.9166248440742493}]",0.9166248440742493
37,nadiem bilang marketplace guru bisa menjadi akses kepala sekolah agar dapat merekrut serta memenuhi kebutuhan guru langsung dari marketplace tanpa harus menunggu perekrutan nasional tapi apakah ini solusi paling tepat untuk masalah pendidikan yang carut marut di indonesia ,POSITIVE,b nadiem said the teacher marketplace can be an access for school principals to be able to recruit and meet the needs of teachers directly from the marketplace without having to wait for national recruitment but is this the most appropriate solution to Indonesia s chaotic education problem,"[{'label': 'POSITIVE', 'score': 0.996013879776001}]",0.996013879776001
38,sekilas kebijakan nadiem soal marketplace guru menjanjikan dan masuk akal namun jk dikaji lebih dlm kebijakannya dungu kalo kata rocky gerung ide soal ini mnjadi solusi agar masalah merekrut guru cepat kepala sekolah bs mencari guru yg dibutuhkan melalui aplikasi dgn cepat ,NEGATIVE,b at first glance Nadiem s policy regarding the teacher marketplace is promising and makes sense but if you examine it more deeply the policy is stupid if Rocky said the idea of this problem is a solution so that the problem of recruiting teachers quickly the principal can quickly find the teacher needed through the application,"[{'label': 'NEGATIVE', 'score': 0.9971978664398193}]",0.9971978664398193
39,nadiem dan kebijakan ngaur soal marketplace guru mulai dari raffi ahmad sule komeng semuanya sepakat bhwa masalah utama guru adalah kesejahteraan bukan perekrutan guru apalagi nadiem ingin membuat marketplace guru yg justru menimbulkan masalah baru ,NEGATIVE,b nadiem and the ridiculous policy regarding the teacher marketplace starting from Raffi Ahmad Sule Komeng everyone agrees that the main problem for teachers is welfare not recruiting teachers especially since Nadiem wants to create a teacher marketplace which actually creates new problems,"[{'label': 'NEGATIVE', 'score': 0.9975103139877319}]",0.9975103139877319
40,ngopi dulu sambil nungguin si nadiem bangun perdebatan dikalangan partai pun terjadi gara marketplace ala nadiem yg tdk jelas ia mengajukan bhw guru yg lulus pppk sejak awal memang ga dijamin akan mendapatkan penempatan begini nih kalau kurangnya komunikasi jadi ngaco ,NEGATIVE,B coffee first while waiting for the Nadiem to wake up The debate among the party ensued because of an unclear Nadiem style marketplace,"[{'label': 'NEGATIVE', 'score': 0.9994438290596008}]",0.9994438290596008
41,jalur tikus marketplace guru ala nadiem bung madin kali ini mau bongkar sisi bobrok dari marketplace guru yg bkn hanya sekadar kebijakan belaka melainkan tersimpan sisi bisnis korupsi hingga memperdagangkan guru layaknya barang dagangan sadisss ,NEGATIVE,b trail of mice the teacher s marketplace in the style of Nadiem Madin this time wants to dismantle the dilapidated side of the teacher s marketplace which is not just a policy but contains the business side of corruption so that teachers are traded like sadistic merchandise,"[{'label': 'NEGATIVE', 'score': 0.9967316389083862}]",0.9967316389083862
42,marketplace memang bisa mempertemukan demand amp supply dgn cepat tapi bagaimana meningkatkan kualitas dan kesejahteraan guru blm terjawab program marketplace guru inisiasi nadiem dikritik pan dinilai hanya solusi jangka pendek monggo pak  ,NEGATIVE,b marketplace can indeed bring together demand supply quickly but how to improve the quality and welfare of teachers has not been answered yet,"[{'label': 'NEGATIVE', 'score': 0.9970638155937195}]",0.9970638155937195
43,bukti pan peduli dengan nasib guru wakil ketua komisi vii dpr eddy soeparno menyoroti ide dari menteri pendidikan kebudayaan riset dan teknologi mendikbudristek nadiem makarim soal pembentukan platform marketplace guru atau lokapasar untuk penyelesaian masalah pendidikan di indonesia eddy mengatakan bahwa ide tersebut kurang tepat untuk dilakukan saat ini eddy menilai platform tersebut juga tidak bisa memastikan soal kualitas guru dia menyebut nadiem seharusnya menyelesaikan masalah yang ada seperti soal ketimpangan kesejahteraan ,NEGATIVE,b proof pan cares about the fate of teachers vice chairman of commission vii dpr eddy soeparno highlighting the idea of the minister of education culture research and technology minister of education culture and technology nadiem makarim regarding the establishment of a teacher marketplace platform or lokapasar to solve education problems in indonesia eddy said that this idea was not appropriate to do when Eddy thinks that this platform cannot be sure about the quality of teachers He said that Nadiem should,"[{'label': 'NEGATIVE', 'score': 0.9991902709007263}]",0.9991902709007263
44,kritik marketplace guru gagasan nadiem loyalis jokowi berpotensi memunculkan subjektivitas dari sekolah dan stakeholder     ,POSITIVE,b criticism of the teacher s marketplace the idea of Nadiem s loyalist Jokowi has the potential to raise subjectivity from schools and stakeholders,"[{'label': 'POSITIVE', 'score': 0.9990147352218628}]",0.9990147352218628
45,marketplace guru ala mas nadiem ini keren menurutku apalg jaman now mengingat masih bnyk dibutuhkan tenaga guru di pelosok tanah air ,POSITIVE,b marketplace for teachers in the style of Mas Nadiem I think it s cool especially nowadays considering that there are still a lot of teachers needed in remote parts of Indonesia,"[{'label': 'POSITIVE', 'score': 0.9992732405662537}]",0.9992732405662537
46,ide tersebut berupa gagasan pembentukan platform bernama marketplace guru menurut nadiem pencetusan gagasan marketplace guru sebagai upaya dalam mengatasi masalah tenaga guru honorer yang terjadi selama bertahuntahun platform marketplace guru merupakan media perekrutan guru ,NEGATIVE,According to Nadiem the idea was in the form of the idea of forming a platform called the teacher marketplace,"[{'label': 'NEGATIVE', 'score': 0.9780412316322327}]",0.9780412316322327
47, marketplace guru solusi atau degradasi halo warga pendidikan ekonomi salam perjuangan salam demokrasi bagi kita semua dewasa ini dunia pendidikan dihebohkan oleh ide baru yang di keluarkan oleh menteri pendidikan kebudayaan riset dan teknologi nadiem makarim ,NEGATIVE,b marketplace teacher solution or degradation hello citizens of economic education greetings struggle greetings democracy to all of us today the world of education is shocked by a new idea issued by the minister of education culture research and technology Nadiem Makarim,"[{'label': 'NEGATIVE', 'score': 0.9863939881324768}]",0.9863939881324768
48, untuk mengurus perekrutan guru marketplace menteri nadiem menyampaikan bahwa guru yang lulus ujian pppk sejak awal memang tidak dijamin akan mendapat penempatan pernyataan ini mengagetkan banyak guru karena sejak awal mereka merasa bahwa bila lulus pppk berarti akan,NEGATIVE,b to take care of the recruitment of marketplace teachers Minister Nadiem said that teachers who passed the PPPK exam from the start were not guaranteed to get a placement This statement shocked many teachers because from the start they felt that if they passed PPPK it would mean,"[{'label': 'NEGATIVE', 'score': 0.9986164569854736}]",0.9986164569854736
49, jika gaji guru pppk nanti dibayar melalui sekolah secara langsung sebagaimana dana bos potensi korupsi kolusi dan nepotisme kkn yang selama ini terjadi pada dana bos akan berpotensi besar terjadi pula pada marketplace nadiem berjanji dana yang ditransfer,NEGATIVE,b If the PPPK teacher s salary is later paid directly through the school as with the boss s funds the potential for corruption collusion and nepotism which has been happening to the boss s funds will have a high potential to happen to the marketplace Nadem promises the transferred funds,"[{'label': 'NEGATIVE', 'score': 0.9989714622497559}]",0.9989714622497559
50, dengan langsung ke sekolah melalui marketplace guru anggaran guru solusi nadiem ini jelas tidak memecahkan persoalan inti yaitu selisih kuota guru antara pusat dan daerah,NEGATIVE,b going directly to schools through the teacher marketplace teacher budgeting this Nadem solution clearly does not solve the core problem namely the difference in teacher quotas between the center and the regions,"[{'label': 'NEGATIVE', 'score': 0.9997730851173401}]",0.9997730851173401
51, meskipun sistem ini nanti bersifat tertutup paradigma guru sebagai produk dan sekolah sebagai warung dagangan akan diwujudkan dalam marketplace guru ala nadiem ini velislava hillman dan molly esquivel  menggambarkan bagaimana guru profesional di inggris harus ,POSITIVE,b although this system will later be closed the paradigm of the teacher as a product and the school as a shop will be realized in this Nadiem style teacher marketplace Velislava Hillman and Molly Esquivel describe how professional teachers in England must,"[{'label': 'POSITIVE', 'score': 0.9886541366577148}]",0.9886541366577148
52, melalui pihak ketiga edtech dengan demikian guru harus siap dipajang layaknya barang dagangan mslahny nadiem hendak menerapkan pola kerja marketplace ini dalam seleksi aparatur sipil negara asn guru pppk yang notabene merupakan seleksi guru yg dilakukan pemerintah,NEGATIVE,b Through third party Edtech teachers must be ready to be displayed like merchandise The problem is that Nadiem wants to apply this marketplace work pattern in the selection of ASN state civil servants for PPPK teachers which incidentally is the selection of teachers by the government,"[{'label': 'NEGATIVE', 'score': 0.9989022016525269}]",0.9989022016525269
53, pppk untuk guru salah satunya nadiem menawarkan marketplace guru sebagai solusi untuk formasi guru yang tidak kunjung terpenuhi hingga kini,NEGATIVE,b PPPK for teachers one of which is Nadem offering a teacher marketplace as a solution for teacher formation which has not been fulfilled until now,"[{'label': 'NEGATIVE', 'score': 0.9792855381965637}]",0.9792855381965637
54,program marketplace guru inisiasi nadiem dikritik dinilai hanya solusi jangka pendek ,NEGATIVE,b the teacher s marketplace program initiated by Nadiem was criticized as only a short term solution,"[{'label': 'NEGATIVE', 'score': 0.9997044205665588}]",0.9997044205665588
55,wow busyet  guru diperjualbelikan di marketplace bagai barang dagangan  kritik marketplace guru ala nadiem makarim ,NEGATIVE,b wow busyet teachers are bought and sold in the marketplace like merchandise criticism of the teacher s marketplace in the style of Nadiem Makarim,"[{'label': 'NEGATIVE', 'score': 0.9886156916618347}]",0.9886156916618347
56,kritik marketplace guru ala nadiem makarim ,NEGATIVE,b criticize marketplace teacher in the style of Nadiem Makarim,"[{'label': 'NEGATIVE', 'score': 0.9799179434776306}]",0.9799179434776306
57,kalo dokter kayanya belom om kalo guru udah mau tuh apa udah ya sama si nadiem marketplace guru,NEGATIVE,For a doctor I don t think it s okay if the teacher already wants to know what s going on with the Nadiem marketplace teacher,"[{'label': 'NEGATIVE', 'score': 0.9994553923606873}]",0.9994553923606873
58,wakil ketua komisi vii dpr mengkritik ide mendikbudristek nadiem makarim soal pembentukan platform marketplace guru ,NEGATIVE,b Deputy chairman of Commission VII DPR criticizes Mendikbudristek Nadiem Makarim s idea of establishing a teacher marketplace platform,"[{'label': 'NEGATIVE', 'score': 0.9908815622329712}]",0.9908815622329712
59,wakil ketua komisi vii dpr eddy soeparno mengkritik ide mendikbudristek nadiem makarim soal pembentukan platform marketplace guru ,NEGATIVE,b deputy chairman of Commission VII DPR Eddy Soeparno criticizes Minister of Education and Culture Nadiem Makarim s idea of establishing a teacher marketplace platform,"[{'label': 'NEGATIVE', 'score': 0.988145112991333}]",0.988145112991333
60,menteri panrb abdullah azwar anas merespons usulan mendikbud nadiem makariem soal marketplace guru apa katanya ,NEGATIVE,b Minister of Panrb Abdullah Azwar Anas responded to Minister of Education and Culture Nadiem Makarim s proposal regarding the teacher marketplace what did he say,"[{'label': 'NEGATIVE', 'score': 0.964791476726532}]",0.964791476726532
61,nadiem makarim yang tujuannya mampu mengatasi masalah tenaga guru honorer yang terjadi selama bertahuntahun membuat marketplace guru tentu butuh sistem yang canggih dan dapat dijangkau oleh seluruh wilayah di indonesia serta pembiayaan yang tidak sedikit,POSITIVE,b nadiem makarim whose goal is to be able to overcome the problem of honorary teachers that have occurred for years creating a teacher marketplace certainly requires a sophisticated system that can be reached by all regions in Indonesia and a lot of funding,"[{'label': 'POSITIVE', 'score': 0.9965594410896301}]",0.9965594410896301
62,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah  lewat com ,NEGATIVE,b members of the DPR value the teacher s marketplace in the style of Nadiem not solving problems via com,"[{'label': 'NEGATIVE', 'score': 0.9979039430618286}]",0.9979039430618286
63,jdi setuju deh sama nadiem makarim guru emang harus dibuat marketplace biarkan rating dan bintang yg berbicara seenggaknya mengurangi spesies bgst berkedok guru seperti ini,NEGATIVE,b so agree with Nadiem Makarim Guru we really have to make a marketplace let the ratings and stars speak at least reduce the great species under the guise of a teacher like this,"[{'label': 'NEGATIVE', 'score': 0.9958129525184631}]",0.9958129525184631
64,dikritik habishabisan nadiem akan ubah diksi marketplace guru jadi ruang talenta guru ,NEGATIVE,b heavily criticized Nadiem will change the diction of the teacher s marketplace to become a teacher s talent room,"[{'label': 'NEGATIVE', 'score': 0.9908350706100464}]",0.9908350706100464
65,setelah nadiem membuat peraturan baru terkait rekrutmen guru menggunakan marketplace hal ini menuai kontroversi pak nadiem seharusnya lbh mementingkan nasib guru honorer yg di gaji hanya  rb perbulan begini nih kalau terlahir kaya gk pernah rasanya jadi guru ,NEGATIVE,b after Nadiem made new regulations regarding the recruitment of teachers using the marketplace this sparked controversy Mr Nadiem should be more concerned with the fate of honorary teachers who are paid only thousands of dollars per month like this If you are born rich you will never feel like being a teacher,"[{'label': 'NEGATIVE', 'score': 0.9923171997070312}]",0.9923171997070312
66,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah baca selengkapnya disini             ,NEGATIVE,b members of the DPR value the teacher s marketplace in the style of Nadiem does not solve the problem read more here,"[{'label': 'NEGATIVE', 'score': 0.9994170665740967}]",0.9994170665740967
67,mengenal marketplace guru usulan menteri nadiem tuai kontroversi ,NEGATIVE,b getting to know the guru marketplace proposed by minister Nadiem reaps controversy,"[{'label': 'NEGATIVE', 'score': 0.9898716807365417}]",0.9898716807365417
68,ketua dpd ri dukung gagasan menteri nadiem tentang marketplace guru ,POSITIVE,chairman of dpd ri supports minister nadiem s idea of teacher marketplace,"[{'label': 'POSITIVE', 'score': 0.9516357183456421}]",0.9516357183456421
69,aplikasi marketplace umpamakan guru seperti barang nadiem dinilai tak hormati tugas mulia ,NEGATIVE,b Marketplace application for example teachers like Nadiem s goods are judged as not respecting noble duties,"[{'label': 'NEGATIVE', 'score': 0.9990942478179932}]",0.9990942478179932
70,otak bisnis busuk nadiem diterapkan dalam ranah pendidikan guru diperjual belikan layaknya barang dagangan marketplace merendahkan harkat martabat guru ,NEGATIVE,Nadiem s rotten business brains are applied in the realm of teacher education and are traded like marketplace merchandise that demeans the dignity of teachers,"[{'label': 'NEGATIVE', 'score': 0.997276246547699}]",0.997276246547699
71,anggota dpr nilai marketplace guru ala nadiem tak selesaikan masalah ,NEGATIVE,b members of the DPR value the teacher s marketplace in the style of Nadiem not solving problems,"[{'label': 'NEGATIVE', 'score': 0.9967336654663086}]",0.9967336654663086
