,Komentar
292,"Ketua PGRI Nilai Marketplace Guru Sulit Diterapkan di Sekolah Negeri

https://t.co/Mnl5k0IXrM"
293,"@MelodiAsyik @DemokrasiMartir @Nadiem_Makarim Apakah GURU itu barang ya sampai masuk marketplace kayak yang ada di facebook. 
Entar itu barang GURU sampai, si kurirnya teriak didepan pintu, permisi, paket...??!!!"
294,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
295,"Tanda kemunduran dan menuju kehancuran pendidikan kita tatkala Nadiem tidak memuliakan pemberi ilmu atau Guru. Bagaimana mungkin bangsa ini bisa besar sementara Gurunya tdk dimuliakan. Kebijakan Marketplace Guru adalah bukti paling nyata hilangnya memuliakan Guru, di satu sisi https://t.co/7Wmpia7lMV"
296,"@andrianatan @PNS_Garis_Lucu duit ada, berapa persen dari anggaran? jumlahnya berapa.

kalau cuma miniscule amount jangan dianggap ada. itu remah sisa sampah.

marketplace guru is the most stupidiest shit that i heard."
297,@ZAEffendy Guru bisa dibeli Di marketplace?
298,"Sesi Advance Technical Analysis sedang disampaikan oleh Bursa Marketplace Guru, Tuan @faizwahab

Analysis in depth tentang Gap Trading, MA, Fibonacci dalam trading dikongsikan oleh beliau kepada peserta. https://t.co/gVtzqCups1"
299,Alumni dan Civitas PPkn UNM Menyoroti Isu Marketplace Guru https://t.co/0iR8vUIVd9
300,Janji Nadiem 100 persen ngawur sebab sangat sarat bermuatan politis. Nadiem sedang pansos dan cari simpati publik. Jgn lupa bahwa sederet masalah di Kemendikbud sejak Nadiem jd menteri. Yg terbaru soal Marketplace Guru hingga nasib Guru Honorer dgn gaji rendah https://t.co/pGJYp5qQP7
301,"@DanangPAS2 mangsamu guru, iso dituku ng marketplace?? -__-"
302,"Star Tribune columnist @cfarrellecon is our Expert of the Day!! If the financial guru is your go-to source for money advice, give him a vote now!! You can vote daily for your favorites until July 16.. https://t.co/XsbnR3MIYx
#top100moneyexperts #marketplace https://t.co/tLverdynPp"
303,"Memang susah. Pendidikan di Indonesia sudah terkapitalisasi dari bawah sampai ke atas, karena memang komoditas yg menggiurkan. Pembukaan UUD yang berbunyi “Setiap warga negara berhak mendapat pendidikan” is definitely a bullshit. Nadiem aja fokusnya bikin marketplace guru."
304,"Sentil Marketplace Guru, P2G Minta Pemerintah Tuntaskan Rekrutmen PPPK https://t.co/BboGDNknTo"
305,"#Opini

Marketplace Guru, Mampukah Menyolusi Kebutuhan Tenaga Pendidik?

Penulis: Noor Afeefa

Kebutuhan tenaga pendidik (guru) masih menjadi problem serius dunia pendidikan di Indonesia. Nasib guru honorer masih saja memilukan.

Selengkapnya di https://t.co/QsPiF9rlwI https://t.co/p5IE3FJCXA"
306,@Beritasatu Marketplace guru / pengajar hal yg bagus dan wajib .rakyat sangat mendukung....supaya ada kompetisi mutu sdm guru .
307,"Mendikbudristek Nadiem Makarim mengusulkan pembentukan marketplace guru. Lokapasar ini merupakan pangkalan data berisi profil guru, yang rencananya mulai berlaku pada 2024.

Namun, ide itu justru menimbulkan polemik. Apa sebabnya? Baca selengkapnya: https://t.co/dNuXA89VTo #guru"
308,"Gagas Marketplace Guru, Kemendikbudristek Dinilai Lempar Tanggung Jawab https://t.co/Q8wMu2wo7Q"
309,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/4Isz3nCj0g"
310,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
311,"Anggota Komisi X DPR RI dari Fraksi Partai NasDem, Ratih Megasari Singkarru meminta Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbud-Ristek) mengkaji ulang wacana perekrutan guru dengan model marketplace. https://t.co/qscwDFMAgu"
312,@mainnet_pat @BCH_Guru First and best Cashtokens marketplace👍
313,Pro-Kontra Marketplace Guru ala Menteri Nadiem https://t.co/mi5cVvy7YH
314,"@PBPGRI_OFFICIAL Ribut mulu urusan cuan dan jabatan,,,,iuran lancar kerja gak jelas,,,banyak guru gak jelas nasibnya tuh,sertifikasi gak merata guru tua yg lama mengabdi gak dpt guru baru pada lolos sertifikasi,,,,marketplace guru dll....."
315,"@melanieppuchino @nadiemmakarim Sekalinya kerja, keluar cetusan marketplace guru 😀"
316,Tujuan Marketplace Guru Harus Sejalan dengan Program Pemda https://t.co/aluAAYXnZZ
317,"Description

@Estate_Guru  #borderless, #digital #marketplace brings #developers and 

 together to #shape the #European #skylines of the #future. 

Our hi #tech approach to #funding delivers #secure, #transparent #investments that offer the best-in-#class #risk #reward ratio around. 

different #service providers, #SMEs and investors on one single marketplace. The #company #offers something #unique that other #financial institutions cannot – a #seamless, #crossborder and #digital service for #borrowers and investors.

Our #aim is to make investment simple, #democratic, #transparent and #safe. Through #comprehensive #duediligence, and #careful selection #protocols, we have facilitated investor #returns of over €64,235,295, at an annual average return of over ten percent. Since it’s launch in 2014, Estateguru has helped #property developers all over #Europe #borrow #money quickly and easily, giving them #access to reliable #capital when they need it most. In #parallel, our investors have earned #market-leading returns on short- #term property-backed #loans.

10.65% Average yield
€64,957,772
Returns to investors
€718,759,875
Money borrowed157,515Investor61.12%
Average loan-to-loan ratio (LTV)
14.0 months
Average maturity of loans granted11.8 months
Average maturity of repaid loans5,541Number of loans financed €292,751,899
Total outstanding loans

Estateguru is licensed to operate anywhere in the #EU under a European #Crowdfunding Service Providers for #business (ECSPR) #licence. 

The company is proud to have been awarded the Lendtech of the year award at the 2022 Europe #Fintech Awards.

https://t.co/Y8J1Tl9bOP"
318,"PGRI NTB, Marketplace Guru Harus Sejalan dengan Pemerintah Daerah    https://t.co/E8rlLIB9Nw"
319,"Perhimpunan Guru Desak Tuntaskan Rekrutmen PPPK, Bukan Marketplace https://t.co/VLe4cY45y6"
320,Sistem Marketplace Dinilai Bukan Solusi Putus Antrean Calon Guru PPPK https://t.co/oEmYeMMqtl
321,"Cegah Nepotisme dan Kolus, Marketplace Guru Harus Didukung Payung Hukum https://t.co/DVDX1kg4OK"
322,Marketplace Guru Berpotensi Timbulkan Praktik Kolusi dan Nepotisme https://t.co/JxGFUY4yt3
323,Kemendikbud dibanding bikin 'marketplace' guru mening urusin biaya UKT univ didepok dulu ga sih? Anak snbp dpt 17-20 juta apa ga pingsan ha? (Ini dari temen yang keterima vok UI snbp)
324,"Wacana untuk mengintegrasikan rekrutmen, marketplace guru menuai berbagai reaksi. Bagaimana tanggapan sivitas akademika Unmul?

Selengkapnya, https://t.co/uG0oyMavxR

LPM Sketsa Unmul
Semangat Berbagi dan Menginspirasi

#BeritaKampus #SketsaUnmul"
325,Perekrutan Model Marketplace Jadikan Guru Sebagai Komoditi Mekanisme Pasar - https://t.co/dQtZAWsfNL
326,"Ada paylater di marketplace guru gak ya? Biar bisa pakai jasa guru, bayarnya dicicil gitu. Kan mayan tuh buat sekolah yang dana operasionalnya minim tapi pengen punya guru dengan spesifikasi yang mumpuni."
327,BCH Guru NFT #5 just sold on https://t.co/HJUW4O22ik for 7 BCH (thats a 70x from 0.1BCH mint price!). Find your perfect Guru on TapSwap (CashTokens marketplace). NFTs are thriving on #bitcoincash #cashtokens https://t.co/rWOVKf3ibG
328,Konsep Marketplace Guru Dinilai Harus Libatkan Guru Honorer https://t.co/ZToNPOmv1c
329,FGBSN Khawatir Ada Paylater dalam Sistem Marketplace Guru https://t.co/gXdVGmxVJs
330,Komisi X DPR RI minta Kemdikbud untuk mengkaji ulang tentang wacana marketplace guru. https://t.co/A9V7hj4nlE
331,"@PBPGRI_OFFICIAL @bank_indonesia Marketplace guru gmn,,,,ngurusi apaan sih ini,nasib guru yg blm sejahtera,blm mndpt kejelasan status gmn.....iuran pgri mengalir trus nasib gak diurus"
332,"Masuk Sistem Marketplace, Guru Harus Bersedia  Ditempatkan di Daerah 3T https://t.co/ysdDmIPMsc"
333,"Nadiem Usul Pembentukan Marketplace Guru pada 2024, Namanya Ruang Talenta Guru https://t.co/lVNIEXjCo0"
334,"@Xmiafan361X @GuyDealership Facebook marketplace if you have cash up front, cars dot com or Car Gurus etc if you need financing. Worth it to spend on them if you can understand red flags on a carfax."
335,"Soal Marketplace Guru, FSGI Minta Pemerintah Benahi Regulasi https://t.co/f1Q4bvEQpJ"
336,"Masuk Sistem Marketplace, Guru Disebut Harus Mau Ditempatkan di Daerah 3T https://t.co/qNWf02VZ3d"
337,"Marketplace Guru, Jadi Solusi Bagi Perekrutan Tenaga Pengajar https://t.co/BrHX6Aoiss"
338,"Wacana soal marketplace guru harus dikaji ulang oleh pemerintah. #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/AdIcOCDwWS"
339,"Nasdem meminta pemerintah untuk mengkaji ulang wacana marketplace guru. #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/Qd7PiUS18D"
340,"Menteri Pendidikan pengen buat Marketplace untuk rekrutmen guru.. Mohon Maaf,, saya  mau nanya itu biar apa? Biar gaji guru bisa di Pay Later? Agar setiap tanggal cantik gaji guru di diskon layaknya Big Sale? Dunia pendidikan ga sesederhana belanja online pak. Urgensinya beda.."
341,"Nasdem minta pemerintah kaji ulang wacana marketplace guru #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/RuwHhV8mmI"
342,"Mendikbudristek Usulkan Pembentukan Marketplace Guru pada 2024, Konsepnya Sudah Ada di Indonesia

https://t.co/Tnjt3UrdHX"
343,"nasdem meminta pemerintah kaji ulang wacana marketplace guru #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/fjr3MmACDW"
344,@ngurahsaka Hooh pak tolong guru dulu ini di pikirin. Nasibnya masih ntah mau kemana. Apalagi yang udh tua tua serba bingung pas tau model nya mau marketplace 🫠
345,"Menurut Komisi X DPR RI, mekanisme 'marketplace' guru tidak pantas karena seakan-akan menjadikan guru sebagai sebuah komoditi yang bergantung pada mekanisme pasar.

https://t.co/o49nxjknkb"
346,Perekrutan Model Marketplace Jadikan Guru Sebagai Komoditi Mekanisme Pasar - https://t.co/dQtZAWsfNL
347,"Marketplace Guru guys 😊
#ibuguru_marketplace guru https://t.co/TJEtgZUAds"
348,Marketplace Guru Bisa Menjadi Ajang Kolusi Rekrutmen Tenaga Pendidik  https://t.co/wkdZVM1rjE
349,"Mengkaji ulang wacana marketplace guru itu memang sangat perlu #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/tnClXS9Knw"
350,"Mengkaji ulang wacana marketplace guru itu memang sangat perlu #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/7h42sg57ij"
351,"Nah ini nih, Setuju nih kaji ulang wacana perekrutan guru dengan model marketplace #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/YxGP105oua"
352,"Setuju nih kaji ulang wacana perekrutan guru dengan model marketplace #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/rI7y7uEtwK"
353,"Nadiem Ibaratkan Guru Seperti Barang di Pasar, Aplikasi Marketplace Guru Disoroti @nadiemmakarim  https://t.co/UiVhRFRZZp"
354,"Rencana ""Marketplace"" Guru https://t.co/YhftG0cEdo"
355,"Dinilai kurang pas, Bu Ratih Megasari Singkarru meminta badan pemerintahan yang terkait mengkaji ulang wacana marketplace Guru  #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku
#NasDemPilihannya https://t.co/rGfh0UNS3i"
356,"Bu Ratih Megasari meminta kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbud-Ristek) mengkaji ulang wacana perekrutan guru dengan model marketplace  #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku
#NasDemPilihannya https://t.co/gSUgFiik3n"
357,"Anggota DPR RI dari fraksi partai NasDem, Bu Ratih Megasari Singkarru meminta pemerintah mengkaji ulang wacana marketplace Guru  #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku
#NasDemPilihannya https://t.co/X89JG6sx9r"
358,"Kemendikbud mesti mengkaji ulang wacana perekrutan guru dengan model marketplace 
#ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/G4lmKNOZzi"
359,"NasDem meminta pemerintah untuk mengkaji ulang wacana marketplace guru 
#ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/WDpeNq1A8w"
360,"NasDem meminta Pemerintah  kaji ulang wacana Marketplace guru
#ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/uhiL4nJwdN"
361,"Ratih Megasari Singkarru meminta Kemdikbud mengkaji ulang wacana perekrutan guru dengan modal Marketplace
#ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/2qRi4K2gyn"
362,"DPR meminta Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbud-Ristek) mengkaji ulang wacana perekrutan guru dengan model marketplace.  https://t.co/tfxVD4KDZ3"
363,@kegblgnunfaedh Jadi paham kenapa perlu marketplace guru
364,"Apa pendapat Lo tentang ""MarketPlace Guru?"""
365,"bu ratih meminta Kemendikbud mengkaji ulang wacana perekrutan guru dengan model marketplace #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/6EWlrIEPTo"
366,Nah kalo ini yg bikin aku pengen nadiem segera diganti aja please. Segala marketplace marketplace guru. Profesi guru udh gada harga dirinya dimata mentrinya sendiri
367,"Marketplace Guru Tak Cocok, Pemerintah Diminta Fokus Pemerataan https://t.co/sCNS2VKcly"
368,"Kendala Internet, Pakar Pendidikan Nilai Marketplace Guru Tak Cocok di Indonesia https://t.co/838mvtPK74"
369,"Guru banyak tp menumpuk dikota, meratanya yg belum sampai daerah terpencil, jd bkn masalah order guru lah.
Soal Marketplace Guru, Pengamat Nilai Nadiem Tak Paham Kondisi Pendidikan Indonesia https://t.co/ZCRCd1TC2j"
370,"Soal Marketplace Guru, Pengamat Nilai Nadiem Tak Paham Kondisi Pendidikan Indonesia https://t.co/Qbh8ghxLeQ"
371,"Marketplace Guru Bukan Solusi, Distribusi Yang Menjadi Tantangan  https://t.co/6fc0TBrarM"
372,Ketua Komisi X: Marketplace Guru Bisa Efektif Jika Akar Persoalan Guru Honorer Tuntas https://t.co/EN5cEhJYeH
373,"""Saya mengusulkan konsepnya bukan marketplace tapi Ruang Talenta, atau database talent. jadi bukan guru sebagai produk atau objek, melainkan sebagai subjek. keadilan bagi guru harus diutamakan, kita harus tetap menjunjung tinggi nilai profesi guru yang tidak bisa disetarakan dengan nilai barang dagangan."" - Dede Yusuf -

#DemokratS14P"
374,"Dengan adanya marketplace atau ruang talenta guru, guru honorer sudah tidak ada lagi. Semua kesejahteraan akan terjamin karena mereka semua adalah pekerja. Jika kotraknya habis, tinggal daftar lagi di marketplace. https://t.co/g9bjmzQXey"
375,"Penjelasannya sangat jelas sekali, 
Marketplace atau ruang talenta guru membantu sekolah untuk rekurt guru jika ada kekosongan jdi tdk perlu tunggu seleksi setahun sekali https://t.co/rBIpft941j"
376,@thefallingleaf @asumsico Marketplace guru yang akan dtng sebaiknya dicegah juga
377,Marketplace guru masih masuk dong.
378,@ngurahsaka ada puluhan ribu guru P1 yg sudah nunggu nasibnya tanpa kejelasan selama 2th termasuk aku n mhon maaf suka kessel sama pak mentri yg tidak jelas apalagi wacana marketplace guru
379,"@mrsdeliverse Sedikit kaget dengan nama konsepnya
MarketPlace guru, dari namanya saja seperti kurang etis ya. Memandang guru adalah profesi yang dipandang mulia.  Kita butuh solusi tuntas untuk setiap permasalahan yg ada, terkhusus untuk persoalan ini.
Jawabannya penerapan Islam secara Kaffah"
380,Rekrutmen Marketplace Guru Berpotensi Munculkan Praktik KKN https://t.co/fuyXzB4q4M
381,"Sepakat , figur guru adalah pendidik bkn hanya mengajar, pendidik yg dihadapi benda hdp (manusia) yg akan dihasilkan manusia2 yg cerdas bermoral dll, jd tdk bisa disamakan  dgn barang.
Kritik Usulan Marketplace Guru, Dede Yusuf: Ini Profesi Bukan Barang https://t.co/2Zor956RVs"
382,"The Holy Grail Of Fb Aff, Crazy Epc, Max Cart Value $881!! This Just Took The Marketplace By Storm, Aff Getting $5.37 Epc, Works On Any Traffic, Killer Copy Made By Gurus, Will Make You Rich Almost-guaranteed This Month. Let's Go!!
https://t.co/fUFWjpEol7"
383,@ngurahsaka —tp ini aku mikir begini karna posisi kebetulan lg rame jg yg masalah korupsi di kemdik-bud dan soal marketplace guru itu🙏
384,Rekrutmen Lewat Marketplace Bukan Solusi Pemerataan Guru https://t.co/nNHveK4Hzw
385,Bener sih. Rada kecewa sama idenya yg mau bikin marketplace guru.
386,"Kritik Usulan Marketplace Guru, Dede Yusuf: Ini Profesi Bukan Barang https://t.co/QA8HIqFCoJ"
387,"wacada dan ide nadim soal marketplace buat guru sangat tidak menghargai guru dan menyamakan guru denga barang produksi yang disimpan dalam etalase ( wadah ), pengabdian guru dianaikan begitu saja

Soal PPPK saja sudah mencedrai martabat guru,, tolong kerja dari aspirasi bukan ide"
388,"Sentil Marketplace Guru Usulan Nadiem, Pengamat Sebut PR Lebih Besar https://t.co/7YYZ7iQT5F"
389,"Soal Marketplace Guru, PGRI: Butuh Kajian Mendalam https://t.co/pSle1jr5iw"
390,Guru Besar UPI Sebut Marketplace Guru Tak Menyelesaikan Akar Persoalan https://t.co/zKa1yYiLgO
391,Marketplace Guru Dinilai Solusi Perekrutan Tenaga Guru https://t.co/l7xIk7shcM
392,PGRI: Marketplace Guru Tak Bisa Diterapkan di Seluruh Sekolah https://t.co/Qr7rtvyr2X
393,"Kontroversi ""Marketplace"" Guru, Solusi atau Sensasi ! https://t.co/foC3QeIY3X lewat @YouTube"
394,"@gotouang Aaaa makasi kak dulll, lg hectic per uas an sekaligus bumbu2 ngrasa salah jurusan🤡 gr2 marketplace guru nih makin bingung ak"
395,Solusi nadiem :bikin marketplace guru 😂
396,@asumsico Marketplace guru jadi pak?
397,"#Opini

Marketplace Guru, Mampukah Menyolusi Kebutuhan Tenaga Pendidik?

Penulis: Noor Afeefa

Kebutuhan tenaga pendidik (guru) masih menjadi problem serius dunia pendidikan di Indonesia.

Selengkapnya di https://t.co/jhqd4g4CCg https://t.co/2lgksWU7f5"
398,"Guru MARKETPLACE, 
Ya Mentri dan Pejabat MARKETPLACE 
DONG!!!!! 

Ngebangun IKN pake tenaga ASING, 
PEJABAT buat Bangun NEGARA tenaga asing gk siiiih!, biar ada peningkatan kualitas!!!!!! 
#perubahan"
399,"Guru adalah Profesi Mulia, Demokrat Tolak Ide Penempatan Guru di Marketplace.

#DEMOKRATS14P https://t.co/lOZW3nN5Ab"
400,"Telah Hadir, Odysee Education Tawarkan Konsep Marketplace Guru yang Dicanangkan Mendikbud untuk 2024 https://t.co/QMPiK0pGJz 
#OdyseeEducation
#marketplaceguru 
#education #pendidikan"
401,Wacana Nadiem Bikin ‘Marketplace Guru’ Banjir Kritik dari Guru-Pengamat! https://t.co/4a14Jczybt lewat @rakyatpembaruan.com
402,"Marketplace Guru, antara Esensi dan Ambisi #TempoIndonesiana https://t.co/FIysEKTBLb"
403,Kebijakan Marketplace Guru Tak Bisa Atasi Persoalan Mendasar Guru https://t.co/wNlMJRHekx
404,"Kan udah mau di buat marketplace guru
Jadi guru di jual tp paling yg di ambil guru guru orang dalam"
405,Pengamat Kritik &lt;em&gt;Marketplace&lt;/em&gt; Guru: Tenaga Pendidik Akan Diperlakukan seperti Komoditas https://t.co/rsEHxsgMI0
406,"Terapkan Marketplace Guru, Pengamat: Guru akan Diperlakukan Seperti Komoditas  https://t.co/0Peg10wRhy"
407,"@a_riot Tp jga ga adil si, pas viralnya gaji guru yg pada sedikit, gada tu berita/rencana gajinya mau dinaikkan😭✋
Malah yg muncul rencana rekrut guru sperti marketplace😔"
408,Pengamat Kritik Marketplace Guru: Tenaga Pendidik Akan Diperlakukan seperti Komoditas https://t.co/wnCejtEZWH
409,@fmuchtar_ semua bisa dibereskan dengan marketplace guru...  😅😅
410,@ofiewahyudi @ngurahsaka @BuruhYogyakarta Julid karena kondisi yg disinggung itu FAKTA?? Berapa banyak gaji guru honorer yg bekerja di sekolah negeri yg tidak diperhatikan?? Solusinya marketplace guru???
411,"@ade_rusmaya @BarBaro5_ True banget.
Bingung sama kurikulum²nya.
Administrasinya banyak.
Blm lagi dia bilang sekolah bisa pilih guru dari marketplace.
Dia gk menghargai tugas mulia seorang guru. Dia pikir guru itu item di e-commerce.
Ya gini klo bakul disuruh jadi menteri."
412,"🦅Sites Russos que os gurus estão escondendo de você 💵

Dessa você não sabia
#fornecedores #eccomece #vendasonline #marketing #marketplace #mercadolivre #shoppe #fornecedoresatacado #fy #foryou #instagram #dropshipping #dropshippingbrasil #reels https://t.co/p9eU0BmUSA"
413,"@fashionastro I wouldn’t say Venus never settles @fashionastro, it’s mooltrikon is literally Libra. Libra denotes marketplaces, opposition, court, all these places require negotiation and compromise. As Venus is a guru itself it has the wisdom to understand when and where to compromise."
414,"@rhfdhkrtk lagi sibuk marketplace guru kaa. Bingung juga ppdb setahun sekali tapi evaluasi keliatan minim banget. Keliatan cuman ngotak ngatik kuota penerimaan aja yg dirasain, itupun sekolah yg nentuin. Jatah rapot makin berkurang, zonasi, sama ""jalur belakang"" pun makin banyak."
415,@mahlid_ emang kadang nadiem bener bikin guru masuk marketplace kalau begini 😭🤣
416,"Tonton selengkapnya di Youtube Pabelan TV
https://t.co/nzfwoGRSLE

#LPMPabelan #PabelanTV #LembagaPersMahasiswa #UMS #UniversitasMuhammadiyahSurakarta #Persmahasiswa #Jurnalistik #Kemendikbud #NadiemMakarim #Marketplace #Guru #GuruIndonesia"
417,"Marketplace perekrutan guru sendiri merupakan basis data guru yang didukung oleh teknologi, di mana semua sekolah bisa mengakses calon guru untuk mengajar di sekolah. Salah satu dampak baik yang dijelaskan terkait  pelaksanaan progam ini,…"
418,"[Pabelan TV]

Penerapan sistem Marketplace dalam perekrutan guru yang diperkenalkan oleh Nadiem Makarim selaku menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) belakangan ini tengah menjadi sorotan."
419,Wacana Marketplace Guru menimbulkan berbagai reaksi dan opini publik. Apakah permasalahan pemerataan tenaga pendidik akan membaik dengan adanya Marketplace Guru? #userstory https://t.co/3w2NxDVgks
420,@ndahmutty @har15_nanggii @tempodotco guru nanti pake marketplace.. pake poto tinder... biar ada yg beli
421,Apakah Pemerataan Tenaga Didik di Indonesia dapat di Atasi Melalui Marketplace Guru? https://t.co/X970DqsA2h
422,"TVR 120 - Komisi X DPR RI : Wacana Marketplace Guru

Kemendikbudristek berencana membuat program Marketplace Guru, untuk memenuhi persebaran guru di Indonesia. Komisi X DPR RI berharap kebutuhan Guru di daerah terpencil 

#tvrparlemen #dprri #tvr120
https://t.co/WxldLd87ID"
423,"The BCH GURUS NFT  Marketplace has officially launched on Cashtoken!!!

If you don't have one of this babies you are totally missing out 

@_paytaca_ team and @joama targana are the founders.

Follow all the details on @BCH_Guru
#cashtoken #NFTs
#bitcoincash community https://t.co/PJOu789PQS"
424,"Apakah gagasan Nadiem Makarim untuk membuat platform digital marketplace guru dapat menyelesaikan persoalan karut marut guru Pegawai Pemerintah dengan Perjanjian Kerja(P3K)? @AlphaARachman
@Kemdikbud_RI @PBPGRI_OFFICIAL
@icharis simak di link ini:
https://t.co/bZWtRiLW43 https://t.co/L0Y3C6MHui"
425,"""Saya mengusulkan konsepnya bkn marketplace tapi Ruang Talenta, atau database talent. Jadi bkn guru sbg produk atau objek, melainkan sbg subjek. Keadilan bagi guru hrs diutamakan, harus tetap menjunjung tinggi nilai profesi guru yg tdk bisa disetarakan dgn nilai barang dagangan."" https://t.co/K4jNy8yK7r"
426,"Tolak Pengibaratan Guru Sebagai Objek, Demokrat Usulkan Konsep Ruang Telanta Bagi Guru

""Saya mengusulkan konsepnya bukan marketplace tapi Ruang Talenta, atau database talent. Jadi bukan guru sebagai produk atau objek, melainkan sebagai subjek. Keadilan bagi guru harus diutamakan, kita harus tetap menjunjung tinggi nilai profesi guru yang tidak bisa disetarakan dengan nilai barang dagangan.""

Dede Yusuf
Wakil Ketua Komisi X Fraksi Partai Demokrat
#DemokratS14P"
427,"Fraksi PKS DPRD Sumut Tak Setuju Kemendikbudristek Pakai Istilah Marketplace Guru, Ini Alasannya https://t.co/O9YCHUCvOa https://t.co/teF2m6R3xk"
428,"Ruang Talenta Guru akan memiliki konsep bukan marketplace tapi Ruang Talenta, atau database talent

#guruhonorer https://t.co/oFUrv7kFi6"
429,"LaNyalla: “Tidak perlu menggunakan kalimat seolah-olah gagasan ini seperti marketplace jual beli barang. Guru ini manusia terhormat, jangan disamakan dengan barang atau jasa,”. #LaNyalla"
430,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated. #LaNyalla"
431,Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia. #LaNyalla https://t.co/1eOTE5q5nO
432,Hari ini marketplace. Sekolah bebas memilih guru sesuai dengan kebutuhan. Negara tak ikut campur
433,"@tirta_cipeng Sekaligus jadi penyidik, detektif, jaksa penuntut umum, hakim, ustadz, polisi, guru ngaji, guru bahasa Arab, dan juga jadi kurir marketplace"
434,"""Guru sekarang susah mbak, harus ppg dan marketplace itu. Ribet. Sabar ya kalau mau jadi guru"""
435,"Sistem pendidikan yang pernah Anies gagas saat menjadi menteri pendidikan.

Kini guru bisa di cari di marketplace oleh Nadiem Makarim, kocak 🤣😝

Cekidot 😁👇 https://t.co/crOzL8kqRN"
436,"1️⃣ Find Your Notion Niche:

Identify a specific area where your Notion skills shine.

Are you a productivity guru or a workflow wizard?

Narrowing down your expertise will help you stand out in the crowded marketplace.💪🔍
#notion #entrepreneur #notiontwt https://t.co/qeqt9QEtCR"
437,"Apkah solusi ini muncul krena sulitnya mncari guru?
Knp bisa sulit? Karena mungkin gk sejahtera hidupnya. Jdi emng harusnya dbenerin dlu kesejahteraannya baru bkin marketplace guru. Tapi ya namanya manusia suka kebalik2.. gpp marketplace dlu aj, paling ga ad gurunya jg 🙃"
438,"@imanzett Akhirnya sekarang Mendikbud nya cari guru di marketplace 🤣😝, dobol 😂😂"
439,"Partai Amanat Nasional mengkritisi rencana sistem rekrutmen guru Pegawai Pemerintah dengan Perjanjian Kerja (ASN PPPK) melalui 'marketplace. Menurut PAN hal itu bertentangan dengan apa yang sudah ada sekarang dan menyulitkan birokasi guru, terutama dengan adanya sistem administrasi pangkalan atau sekolah induk. 

Guru-guru sudah terikat aturan yang diterbitkan oleh Kemendikbud maupun Kemenag terkait undang-undang sertifikasi guru. Mereka punya tupoksi dan terikat dengan sekolah induk di mana mereka berada. Jadi program rekrutmen guru dengan cara demikian sangat sulit dilakukan.

https://t.co/eRTGA9uOVk"
440,"Secara definisi, marketplace guru adalah platform yang mempertemukan guru dengan instansi sekolah yang sedang membutuhkan tenaga pengajar.  https://t.co/GKzOZ3iMdD"
441,"Wakil Ketua Komisi VII DPR RI Eddy Soeparno pada Jumat (9/6/2023), mengkritik kebijakan marketplace guru, ide yang digagas oleh Menteri Pendidikan, Kebudayaaan, Riset dan Teknologi Nadiem Makarim bulan Mei lalu. #VideoBerita #AdadiKompas 

https://t.co/CE7rbu4x0f"
